id,from,at,to,open,close,min,max,volume,SMA20,EMA50,RSI,MACD,MACD_Signal,Bollinger_High,Bollinger_Low
210817452,1721746310,1721746311000000000,1721746311,1.087635,1.087635,1.087635,1.087635,0,1.0876584999999999,1.087662078901134,40.07918680553768,-2.5793911959670623e-06,-2.4194135393248394e-06,1.0876806585198047,1.087636341480195
210817453,1721746311,1721746312000000000,1721746312,1.087635,1.087635,1.087635,1.087635,0,1.087657,1.0876610169834424,40.07918680553768,-4.207908040898545e-06,-2.7771124396395806e-06,1.087681166091946,1.087632833908054
210817454,1721746312,1721746313000000000,1721746313,1.087635,1.087635,1.087635,1.087635,0,1.0876554999999999,1.087659996709582,40.07918680553768,-5.4358581840219244e-06,-3.3088615885160495e-06,1.0876811709953045,1.0876298290046953
210817455,1721746313,1721746314000000000,1721746314,1.087655,1.087655,1.087655,1.087655,0,1.0876560000000002,1.0876598007601865,49.22669953015347,-4.740538687153517e-06,-3.595197008243543e-06,1.0876812190404248,1.0876307809595755
210817456,1721746314,1721746315000000000,1721746315,1.087635,1.087635,1.087635,1.087635,0,1.0876554999999999,1.0876588281813557,42.27633837065544,-5.737191062227254e-06,-4.023595819040285e-06,1.0876819386081316,1.0876290613918682
210817457,1721746315,1721746316000000000,1721746316,1.087655,1.087655,1.087655,1.087655,0,1.0876554999999999,1.0876586780565967,49.894904338709075,-4.857221372223108e-06,-4.19032092967685e-06,1.0876819386081316,1.0876290613918682
210817458,1721746316,1721746317000000000,1721746317,1.087645,1.087645,1.087645,1.087645,0,1.087655,1.0876581416622204,46.58425486324242,-4.9101542776153195e-06,-4.334287599264544e-06,1.0876818328157287,1.0876281671842714
210817459,1721746317,1721746318000000000,1721746318,1.087645,1.087645,1.087645,1.087645,0,1.0876534999999998,1.0876576263029176,46.58425486324242,-4.895669753146592e-06,-4.446564030040954e-06,1.0876790147016429,1.0876279852983568
210817460,1721746318,1721746319000000000,1721746319,1.087635,1.087635,1.087635,1.087635,0,1.0876515000000002,1.0876567389969207,43.255600377474885,-5.6262511685112315e-06,-4.68250145773501e-06,1.0876762184141875,1.087626781585813
210817461,1721746319,1721746320000000000,1721746320,1.087645,1.087645,1.087645,1.087645,0,1.0876505,1.0876562786441002,47.31013777848197,-5.336806395028759e-06,-4.81336244519376e-06,1.0876745624188298,1.0876264375811704
